context,gold,pred0,pred1,pred2,pred3,pred4
"These have become the best spots to observe birds . Among common birds , a rather special one is the black - faced spoonbill . It is an endangered bird species throughout the world . Uh-huh . Ah , there are only about 1,500 in the world . Wow . Um , however , each year , <anteced> about two to three hundred of them </anteced> come to Hong Kong to spend the winter . Some of",them,those popular birds,them,them,those birds,those occasions
"They will complete the park 's entire construction by the beginning of <anteced> 2006 </anteced> , to be able to participate in the",2006,2004,2005,Pacific Rim <anaphor>Pacific Rim,2005,next phase
"They will complete the park 's entire construction by the beginning of <anteced> 2006 </anteced> , to be able to participate in the 2006 Discover Hong Kong Year campaign . Ah , we have established",the year 2006,the park,19 spring - tourist categories in Chunglin High School,the season,last month,this year's debut
"They will complete the park 's entire construction by the beginning of 2006 , to be able to participate in the <anteced> 2006 </anteced> Discover Hong Kong Year campaign . Ah , we have established",the year 2006,this year,2006,this,2007,2005
"They will complete the park 's entire construction by the beginning of 2006 , to be able to participate in the 2006 Discover Hong Kong Year campaign . Ah , we have <anteced> established </anteced> the year 2006 as Discover Hong Kong Year . Why is",that,this,that,this,that,that
"They will complete the park 's entire construction by the beginning of <anteced> 2006 </anteced> , to be able to participate in the 2006 Discover Hong Kong Year campaign . Ah , we have established the year 2006 as Discover Hong Kong Year . Why is that ? Because , as everyone knows , our Disneyland will open in September of",this year,2007,2006,2006,2006,2006
"They will complete the park 's entire construction by the beginning of 2006 , to be able to participate in the 2006 Discover Hong Kong Year campaign . Ah , we have established <anteced> the year 2006 </anteced> as Discover Hong Kong Year . Why is that ? Because , as everyone knows , our Disneyland will open in September of",this year,the year 2006,this year,this year,the year 2006,this year
"They will complete the park 's entire construction by the beginning of 2006 , to be able to participate in the <anteced> 2006 </anteced> Discover Hong Kong Year campaign . Ah , we have established the year 2006 as Discover Hong Kong Year . Why is that ? Because , as everyone knows , our Disneyland will open in September of",this year,2005,this year,2006,2007,2007
"Why is that ? Because , as everyone knows , our Disneyland will open in September of this year . In addition , we will have Ngong Ping 360 , that is , the cable car , er , to the Giant Buddha . They add to what we already have , like the Avenue of Stars , which is also very famous . Moreover , er , we are including <anteced> our software </anteced> .",Hong Kong 's software,That,We,We,That,This
"They add to what we already have , like the Avenue of Stars , which is also very famous . Moreover , er , we are including our software . Hong Kong 's software is very well known . Like what 's used in our Symphony of Lights . We hope to use , er , a variety of hardware and software to package this entire 2006 Discover Hong Kong Year . Without planning <anteced> it </anteced> in advance , they",chose,it,this,recruit,this year,make
"A dream that has been anticipated for more than twenty years will soon come true here . Because your line connects us with two -- In recent years , Hong Kong 's tourist attractions have gradually moved from Hong Kong Island to Kowloon and <anteced> the New Territory </anteced> . Two out of the four new attractions participating in the 2006 Discover Hong Kong Year are located on Lantau Island of",the New Territory,New Territories,Kowloon and the New Territory,the New Territory,Hong Kong Island,Hong Kong's islands
"A dream that has been anticipated for more than twenty years will soon come true here . Because your line connects us with two -- In recent years , Hong Kong 's tourist attractions have gradually moved from Hong Kong Island to Kowloon and the New Territory . Two out of the four new attractions participating in the 2006 Discover Hong Kong Year are located on <anteced> Lantau Island of the New Territory </anteced> . For this reason ,",Lantau Island,Lantau Island,Lantau's,Lantau Island,Lantau Island's,Lantau Island
"For this reason , Lantau Island has become a new Hong Kong tourism popular spot . The earliest to settle here was <anteced> this world 's largest outdoor seated bronze Buddha </anteced> . In Chinese Buddhism , there are five directions - east , west , south , north , and center - and five Buddhas . Therefore ,",Hong Kong 's Tian Tan Giant Buddha,this Buddha's,this Buddha,this Buddha,the Buddha's,the Buddha
"Therefore , Hong Kong 's Tian Tan Giant Buddha at the most southern tip of <anteced> China </anteced> , together with Lingshan Giant Buddha in the east , Leshan Giant Buddha in the west , Yungang Giant Buddha in the north , and Longmen Giant Buddha in the Central Plains , exist as the representative Buddhas for each of the five directions of",China,China,China,China,China,China
"In the near future , construction will also begin on a cross-sea bridge connecting Hong Kong , Zhuhai , and <anteced> Macao </anteced> . In 1992 -- Could n't go in summer -- So , after their return ,",Macao,those two regions,Macao,Macao,Macao,Macao and <anaphor>Taiwan
"In the near future , construction will also begin on a cross-sea bridge connecting <anteced> Hong Kong </anteced> , Zhuhai , and Macao . In 1992 -- Could n't go in summer -- So , after their return , Macao , and",Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong
"Macao is this way , and Zhuhai is this way . From the perspective of either Hong Kong , Macao , or Zhuhai , our concept is a tourism zone . Er , %pw Zhuhai for sightseeing tours , Macao for entertainment , and we have Disneyland and , other attractions in Hong Kong . <anteced> Each place </anteced> has different attractions of",its,their,its,itself,its,its
"Macao is this way , and Zhuhai is this way . From the perspective of either Hong Kong , Macao , or Zhuhai , our concept is a tourism zone . Er , %pw Zhuhai for sightseeing tours , Macao for entertainment , and we have Disneyland and , other attractions in Hong Kong . Each place has different attractions of its own . So , with this bridge , when <anteced> some old friends </anteced> ,",friends from mainland China or from foreign countries,they,they,they,they,they
"However , even though it has entered the last countdown period before its final opening , this wonderland is still unwilling to take off its mysterious veil . Ah , currently it has been decided that Disney will open on September 12 . There 's also what we call soft opening . Ah , <anteced> they </anteced> are now rehearsing . Ah , , ah ,",some groups,they,they,they,they,they
"However , even though it has entered the last countdown period before its final opening , this wonderland is still unwilling to take off its mysterious veil . Ah , currently it has been decided that Disney will open on September 12 . There 's also what we call soft opening . Ah , <anteced> they </anteced> are now rehearsing . Ah , , ah , some groups ,",they,they,they,they,they,they
"However , even though it has entered the last countdown period before its final opening , this wonderland is still unwilling to take off its mysterious veil . Ah , currently it has been decided that Disney will open on September 12 . There 's also what we call soft opening . Ah , they are now rehearsing . Ah , , ah , <anteced> some groups </anteced> ,",they,they,their,they,they,they
"However , even though it has entered the last countdown period before its final opening , this wonderland is still unwilling to take off its mysterious veil . Ah , currently it has been decided that Disney will open on September 12 . There 's also what we call soft opening . Ah , <anteced> they </anteced> are now rehearsing . Ah , , ah , some groups , they are rehearsing",their,their,their,their,their,their
"However , even though it has entered the last countdown period before its final opening , this wonderland is still unwilling to take off its mysterious veil . Ah , currently it has been decided that Disney will open on September 12 . There 's also what we call soft opening . Ah , they are now rehearsing . Ah , , ah , some groups , <anteced> they </anteced> are rehearsing",their,themselves,their,themselves,their,their
"However , even though it has entered the last countdown period before its final opening , this wonderland is still unwilling to take off its mysterious veil . Ah , currently it has been decided that Disney will open on September 12 . There 's also what we call soft opening . Ah , they are now rehearsing . Ah , , ah , <anteced> some groups </anteced> , they are rehearsing",their,their,their,their,their,them
"However , even though it has entered the last countdown period before its final opening , this wonderland is still unwilling to take off its mysterious veil . Ah , currently it has been decided that Disney will open on September 12 . There 's also what we call soft opening . Ah , <anteced> they </anteced> are now rehearsing . Ah , , ah , some groups , they are rehearsing their service , well , hoping that",they,they,they,they,they,they
"However , even though it has entered the last countdown period before its final opening , this wonderland is still unwilling to take off its mysterious veil . Ah , currently it has been decided that Disney will open on September 12 . There 's also what we call soft opening . Ah , they are now rehearsing . Ah , , ah , some groups , they are rehearsing <anteced> their </anteced> service , well , hoping that",they,they,they,they,they,they
"However , even though it has entered the last countdown period before its final opening , this wonderland is still unwilling to take off its mysterious veil . Ah , currently it has been decided that Disney will open on September 12 . There 's also what we call soft opening . Ah , they are now rehearsing . Ah , , ah , some groups , <anteced> they </anteced> are rehearsing their service , well , hoping that",they,they,they,they,they,they
"However , even though it has entered the last countdown period before its final opening , this wonderland is still unwilling to take off its mysterious veil . Ah , currently it has been decided that Disney will open on September 12 . There 's also what we call soft opening . Ah , they are now rehearsing . Ah , , ah , <anteced> some groups </anteced> , they are rehearsing their service , well , hoping that",they,they,they,they,they,they
"Ah , currently it has been decided that Disney will open on September 12 . There 's also what we call soft opening . Ah , they are now rehearsing . Ah , , ah , some groups , they are rehearsing <anteced> their service </anteced> , well , hoping that they will become used to",the service,their,it,it,the service,it
"Ah , currently it has been decided that Disney will open on September 12 . There 's also what we call soft opening . Ah , they are now rehearsing . Ah , , ah , some groups , they are rehearsing <anteced> their service </anteced> , well , hoping that they will become used to the service , be familiar with",it,its,it,their,it,its
"Ah , currently it has been decided that Disney will open on September 12 . There 's also what we call soft opening . Ah , they are now rehearsing . Ah , , ah , some groups , they are rehearsing their service , well , hoping that they will become used to <anteced> the service </anteced> , be familiar with",it,its,it,it,it,the service
"There 's also what we call soft opening . Ah , they are now rehearsing . Ah , , ah , some groups , they are rehearsing their service , well , hoping that they will become used to the service , be familiar with it , when our tourists come in September . Well , I am very confident , that when <anteced> our tourists </anteced> come to Disneyland ,",they,they,they,they,they,they
<anteced> This </anteced> is the Cross Strait program on CCTV International Channel . Welcome to,our program,the web,that program,this program,the program,the program
This is the Cross Strait program on CCTV International Channel . Welcome to our program . First let 's focus on the main contents of today 's program . <anteced> Wang Jin - pyng </anteced> says that,he,he,he,he,he,he
This is the Cross Strait program on CCTV International Channel . Welcome to our program . First let 's focus on the main contents of today 's program . Wang Jin - pyng says that he has decided not to continue serving as KMT vice chairman . Candidates for the giant pandas to be presented to <anteced> Taiwan </anteced> as gifts from the mainland may increase .,Taiwan 's,I,KMT,Taiwan,This,Taiwan
"Taiwan 's military uses Taipei Aerospace Exhibition as an opportunity for pressing arms procurement . Recently , the 2005 Ningxia Investment and Trade Fair and Ningxia - Taiwan Economic and Trade Cooperation Seminar were held in the city of Yinchuan . <anteced> More than three hundred Taiwanese businesspeople </anteced> gathered in this land known as "" lush southern - type fields north of the Great Wall , "" beginning",their,the work of developing <anaphor>Taiwan's,their,their,their,their
They 're both off /- Look at that . Is that a replacement ? Paula Paula . Thank you for your faith Larry and thank you for your graciousness . And we 're going to get started here . Good evening everybody . Welcome to News Night . As uh Larry just told you I 'm Paula Zahn filling in for the two men Anderson Cooper and Aaron Brown . <anteced> He </anteced> lost,his,his,his,his,his,his
Is that a replacement ? Paula Paula . Thank you for your faith Larry and thank you for your graciousness . And we 're going to get started here . Good evening everybody . Welcome to News Night . As uh Larry just told you I 'm Paula Zahn filling in for the two men Anderson Cooper and Aaron Brown . <anteced> He </anteced> lost his life long ago . but there 's still something modern science can give,him,him,him,him,him,him
Is that a replacement ? Paula Paula . Thank you for your faith Larry and thank you for your graciousness . And we 're going to get started here . Good evening everybody . Welcome to News Night . As uh Larry just told you I 'm Paula Zahn filling in for the two men Anderson Cooper and Aaron Brown . He lost <anteced> his </anteced> life long ago . but there 's still something modern science can give,him,him,him,him,him,him
Is that a replacement ? Paula Paula . Thank you for your faith Larry and thank you for your graciousness . And we 're going to get started here . Good evening everybody . Welcome to News Night . As uh Larry just told you I 'm Paula Zahn filling in for the two men Anderson Cooper and Aaron Brown . <anteced> He </anteced> lost his life long ago . but there 's still something modern science can give him back,his,his,his,he,his,his
Is that a replacement ? Paula Paula . Thank you for your faith Larry and thank you for your graciousness . And we 're going to get started here . Good evening everybody . Welcome to News Night . As uh Larry just told you I 'm Paula Zahn filling in for the two men Anderson Cooper and Aaron Brown . He lost his life long ago . but there 's still something modern science can give <anteced> him </anteced> back,his,his,his,him,he,his
Is that a replacement ? Paula Paula . Thank you for your faith Larry and thank you for your graciousness . And we 're going to get started here . Good evening everybody . Welcome to News Night . As uh Larry just told you I 'm Paula Zahn filling in for the two men Anderson Cooper and Aaron Brown . He lost <anteced> his </anteced> life long ago . but there 's still something modern science can give him back,his,his,his,his,his,he
Thank you for your faith Larry and thank you for your graciousness . And we 're going to get started here . Good evening everybody . Welcome to News Night . As uh Larry just told you I 'm Paula Zahn filling in for the two men Anderson Cooper and Aaron Brown . <anteced> He </anteced> lost his life long ago . but there 's still something modern science can give him back his identity . The mystery of,the frozen airman,that,his,his,his,that
Thank you for your faith Larry and thank you for your graciousness . And we 're going to get started here . Good evening everybody . Welcome to News Night . As uh Larry just told you I 'm Paula Zahn filling in for the two men Anderson Cooper and Aaron Brown . He lost his life long ago . but there 's still something modern science can give him back <anteced> his </anteced> identity . The mystery of,the frozen airman,his,his,his,his,his
Thank you for your faith Larry and thank you for your graciousness . And we 're going to get started here . Good evening everybody . Welcome to News Night . As uh Larry just told you I 'm Paula Zahn filling in for the two men Anderson Cooper and Aaron Brown . He lost his life long ago . but there 's still something modern science can give <anteced> him </anteced> back his identity . The mystery of,the frozen airman,that,his,him,his,his
Thank you for your faith Larry and thank you for your graciousness . And we 're going to get started here . Good evening everybody . Welcome to News Night . As uh Larry just told you I 'm Paula Zahn filling in for the two men Anderson Cooper and Aaron Brown . He lost <anteced> his </anteced> life long ago . but there 's still something modern science can give him back his identity . The mystery of,the frozen airman,his,his,his,his,his
As uh Larry just told you I 'm Paula Zahn filling in for the two men Anderson Cooper and Aaron Brown . He lost his life long ago . but there 's still something modern science can give him back his identity . The mystery of the frozen airman continues . Next stop the lab . And anger in the hood over a sign of the times . If <anteced> Fifty Cent </anteced> does n't have good sense then,he,they,they,they,they,they
He lost his life long ago . but there 's still something modern science can give him back his identity . The mystery of the frozen airman continues . Next stop the lab . And anger in the hood over a sign of the times . If <anteced> Fifty Cent </anteced> does n't have good sense then he needs to stop doing what,he,he,he,he,he,they
He lost his life long ago . but there 's still something modern science can give him back his identity . The mystery of the frozen airman continues . Next stop the lab . And anger in the hood over a sign of the times . If Fifty Cent does n't have good sense then <anteced> he </anteced> needs to stop doing what,he,he,he,he,he,he
He lost his life long ago . but there 's still something modern science can give him back his identity . The mystery of the frozen airman continues . Next stop the lab . And anger in the hood over a sign of the times . If <anteced> Fifty Cent </anteced> does n't have good sense then he needs to stop doing what he 's doing .,The rap star 's,Fifty Cent,He,He,He,I
He lost his life long ago . but there 's still something modern science can give him back his identity . The mystery of the frozen airman continues . Next stop the lab . And anger in the hood over a sign of the times . If Fifty Cent does n't have good sense then he needs to stop doing what <anteced> he </anteced> 's doing .,The rap star 's,He,He,He,He,I
